Transcript,Gene
TRINITY_DN10102_c0_g1_i31,ORCT
TRINITY_DN10102_c0_g1_i32,ORCT
TRINITY_DN10102_c0_g1_i8,ORCT
TRINITY_DN10107_c0_g2_i3,HS12B
TRINITY_DN10107_c1_g1_i18,CLCN7
TRINITY_DN10107_c1_g1_i9,CLCN7
TRINITY_DN10108_c0_g1_i16,FLNC
TRINITY_DN10108_c0_g1_i2,FLNC
TRINITY_DN10108_c0_g1_i24,FLNB
TRINITY_DN10110_c0_g1_i8,NELFA
TRINITY_DN10112_c0_g2_i1,ANKUB
TRINITY_DN10116_c0_g1_i1,CALMS
TRINITY_DN10117_c0_g1_i12,HDAC6
TRINITY_DN10117_c0_g1_i27,HDAC6
TRINITY_DN10117_c0_g1_i3,HDAC6
TRINITY_DN101182_c0_g1_i3,KLKB1
TRINITY_DN1012_c0_g1_i16,CNIPF
TRINITY_DN1012_c0_g1_i5,CNKR2
TRINITY_DN1012_c0_g1_i9,CNKR2
TRINITY_DN10120_c0_g1_i27,YR818
TRINITY_DN10120_c0_g1_i3,YR818
TRINITY_DN10120_c0_g1_i9,YR818
TRINITY_DN10121_c0_g1_i9,BRN
TRINITY_DN10122_c0_g1_i1,PNPH
TRINITY_DN10122_c0_g1_i26,PNPH
TRINITY_DN10122_c0_g1_i3,PNPH
TRINITY_DN101224_c0_g1_i1,S6A14
TRINITY_DN10123_c0_g1_i1,C1D
TRINITY_DN10123_c0_g1_i13,C1D
TRINITY_DN10125_c0_g1_i2,CCD14
TRINITY_DN101252_c0_g2_i1,GLNA
TRINITY_DN101259_c0_g1_i3,ATS19
TRINITY_DN101290_c0_g1_i1,NT5M
TRINITY_DN1013_c0_g1_i18,ANK3
TRINITY_DN1013_c0_g1_i19,ANK3
TRINITY_DN1013_c0_g1_i42,ANK3
TRINITY_DN1013_c0_g1_i44,ANK3
TRINITY_DN1013_c0_g1_i47,ANK3
TRINITY_DN1013_c0_g1_i61,ANK3
TRINITY_DN10130_c0_g1_i3,MAT1
TRINITY_DN10130_c0_g1_i5,MAT1
TRINITY_DN10130_c0_g1_i7,MAT1
TRINITY_DN10131_c2_g2_i1,ARL16
TRINITY_DN10131_c3_g4_i1,ADHX
TRINITY_DN10132_c0_g1_i1,SPAG8
TRINITY_DN10132_c0_g1_i3,SPAG8
TRINITY_DN10133_c0_g1_i1,GASR
TRINITY_DN10134_c1_g2_i6,RS23
TRINITY_DN10136_c0_g1_i2,FCNV4
TRINITY_DN101388_c0_g2_i1,CD151
TRINITY_DN10143_c0_g1_i5,RUSD2
TRINITY_DN101448_c0_g1_i1,AAAD
TRINITY_DN101448_c0_g1_i3,AAAD
TRINITY_DN10148_c0_g1_i10,GCP6
TRINITY_DN10149_c0_g1_i13,HSDA
TRINITY_DN1015_c0_g1_i1,ERIC3
TRINITY_DN1015_c0_g1_i15,ERIC3
TRINITY_DN1015_c0_g1_i33,ERIC3
TRINITY_DN10151_c1_g1_i2,ORML1
TRINITY_DN10151_c2_g1_i5,GEMI5
TRINITY_DN10153_c0_g1_i1,T53I1
TRINITY_DN10154_c0_g1_i12,RALB
TRINITY_DN101554_c0_g1_i1,UNC22
TRINITY_DN10158_c0_g2_i3,DHDDS
TRINITY_DN10159_c0_g1_i13,CHD1
TRINITY_DN10162_c0_g1_i15,COX5B
TRINITY_DN10162_c0_g1_i19,COX5B
TRINITY_DN10162_c0_g1_i22,COX5B
TRINITY_DN10163_c3_g1_i10,CEGT
TRINITY_DN10163_c5_g1_i2,DNJC3
TRINITY_DN101649_c0_g1_i1,LORF2
TRINITY_DN10165_c0_g1_i3,KPTN
TRINITY_DN10166_c0_g1_i15,EHF
TRINITY_DN10168_c0_g1_i10,IF2P
TRINITY_DN1017_c1_g1_i19,PP11
TRINITY_DN1017_c3_g1_i15,CP4V2
TRINITY_DN10170_c0_g1_i5,NOP9
TRINITY_DN10171_c0_g1_i11,HSDL1
TRINITY_DN10171_c0_g1_i17,HSDL1
TRINITY_DN10171_c0_g1_i22,HSDL1
TRINITY_DN10171_c0_g1_i32,HSDL1
TRINITY_DN10171_c0_g1_i41,DHB12
TRINITY_DN10171_c0_g1_i5,DHB12
TRINITY_DN10172_c0_g1_i13,SSUH2
TRINITY_DN10172_c0_g1_i15,SSUH2
TRINITY_DN101730_c2_g1_i1,ADCY9
TRINITY_DN10174_c0_g1_i16,FOJO
TRINITY_DN10174_c0_g1_i17,FOJO
TRINITY_DN101747_c0_g1_i1,HS12B
TRINITY_DN10177_c0_g2_i2,EXOS1
TRINITY_DN10177_c0_g2_i3,EXOS1
TRINITY_DN1018_c2_g1_i4,FUT2
TRINITY_DN1018_c2_g1_i9,FUT2
TRINITY_DN10181_c0_g1_i12,SMC4
TRINITY_DN10181_c0_g1_i23,SMC4
TRINITY_DN10181_c0_g1_i8,SMC4
TRINITY_DN10183_c0_g1_i1,SLB2
TRINITY_DN10184_c0_g1_i5,RPC10
TRINITY_DN10184_c0_g1_i6,RPC10
TRINITY_DN10185_c0_g1_i9,FBW10
TRINITY_DN101863_c0_g1_i1,ACH10
TRINITY_DN10188_c0_g1_i1,CB5D1
TRINITY_DN10189_c0_g1_i8,DHB4
TRINITY_DN1019_c0_g1_i11,JADE1
TRINITY_DN1019_c0_g1_i7,JADE1
TRINITY_DN1019_c0_g1_i9,JADE1
TRINITY_DN10190_c0_g1_i3,GRHPR
TRINITY_DN10190_c0_g1_i6,GRHPR
TRINITY_DN10191_c0_g1_i7,IP3KH
TRINITY_DN10191_c0_g1_i9,IP3KH
TRINITY_DN10193_c0_g1_i4,DCC1
TRINITY_DN10194_c0_g1_i7,DJC17
TRINITY_DN101940_c0_g1_i1,NCKX4
TRINITY_DN10198_c0_g1_i4,RPOM
TRINITY_DN101989_c0_g1_i3,APY5
TRINITY_DN101989_c0_g1_i4,ENTP1
TRINITY_DN10199_c0_g1_i5,DEDD
TRINITY_DN1020_c0_g1_i2,BAZ2B
TRINITY_DN10201_c0_g1_i2,SAMD9
TRINITY_DN10204_c0_g1_i3,PTPA
TRINITY_DN10209_c0_g1_i4,DET1
TRINITY_DN1021_c1_g1_i3,ADAL
TRINITY_DN1021_c1_g1_i4,ADAL
TRINITY_DN1021_c1_g1_i6,ADAL
TRINITY_DN10210_c0_g1_i18,RTBS
TRINITY_DN10210_c0_g1_i19,RTBS
TRINITY_DN10211_c0_g1_i11,RAB14
TRINITY_DN10211_c0_g1_i3,RAB14
TRINITY_DN10212_c0_g1_i3,TSP4
TRINITY_DN10217_c0_g1_i4,L2HDH
TRINITY_DN10219_c0_g1_i17,PB1
TRINITY_DN10219_c0_g1_i6,PB1
TRINITY_DN10219_c0_g1_i8,PB1
TRINITY_DN1022_c0_g1_i5,CERS3
TRINITY_DN1022_c0_g1_i7,CERS3
TRINITY_DN1022_c1_g3_i1,RSPRY
TRINITY_DN10220_c0_g1_i10,PTH1R
TRINITY_DN10220_c0_g1_i11,PTH1R
TRINITY_DN10220_c0_g1_i12,PTH1R
TRINITY_DN10220_c0_g1_i9,PTH1R
TRINITY_DN10221_c0_g1_i4,WASH1
TRINITY_DN10223_c0_g1_i11,SI1L2
TRINITY_DN10223_c0_g1_i6,SI1L2
TRINITY_DN10232_c0_g1_i14,PLS1
TRINITY_DN10232_c0_g1_i20,PLS1
TRINITY_DN10232_c0_g1_i7,PLS1
TRINITY_DN10233_c2_g1_i1,CDK2
TRINITY_DN10233_c2_g1_i14,CDK2
TRINITY_DN10233_c3_g1_i5,NRAM1
TRINITY_DN10233_c3_g1_i6,NRAM2
TRINITY_DN102364_c0_g2_i1,ITA4
TRINITY_DN102364_c0_g2_i7,ITA4
TRINITY_DN102367_c0_g1_i10,ORCT
TRINITY_DN10237_c0_g1_i2,GALK1
TRINITY_DN10238_c0_g1_i19,HS12A
TRINITY_DN10238_c0_g1_i21,HS12A
TRINITY_DN10238_c0_g1_i28,HS12B
TRINITY_DN10238_c0_g1_i8,HS12A
TRINITY_DN10238_c0_g2_i1,HS12B
TRINITY_DN10238_c0_g2_i4,HS12B
TRINITY_DN10239_c0_g1_i16,POL
TRINITY_DN1025_c1_g2_i4,GLRA2
TRINITY_DN10250_c0_g1_i1,TRI56
TRINITY_DN10250_c0_g1_i14,TRI56
TRINITY_DN10250_c1_g1_i8,RTBS
TRINITY_DN102526_c0_g1_i1,MLRP2
TRINITY_DN102552_c0_g1_i1,DHRSX
TRINITY_DN102552_c0_g1_i2,DHRSX
TRINITY_DN102555_c0_g1_i3,OSTCB
TRINITY_DN102560_c0_g1_i1,MENG
TRINITY_DN102583_c0_g1_i4,PKD2
TRINITY_DN102583_c0_g1_i8,PKD2
TRINITY_DN102599_c0_g1_i1,MALR1
TRINITY_DN102599_c0_g2_i1,MLRP2
TRINITY_DN1026_c4_g1_i4,RHG24
TRINITY_DN102615_c0_g1_i1,BAT1
TRINITY_DN10263_c0_g1_i10,CASP3
TRINITY_DN10264_c0_g1_i8,BXL2
TRINITY_DN10265_c2_g1_i2,PAR15
TRINITY_DN10268_c0_g1_i1,SH24B
TRINITY_DN10268_c0_g1_i3,SH24B
TRINITY_DN10268_c0_g1_i4,SH24B
TRINITY_DN10268_c0_g1_i6,SH24B
TRINITY_DN10268_c0_g1_i8,SH24B
TRINITY_DN1027_c1_g1_i1,RPB9
TRINITY_DN10270_c0_g1_i5,FRDA
TRINITY_DN10271_c0_g1_i11,AR2BP
TRINITY_DN10271_c0_g1_i5,AR2BP
TRINITY_DN10271_c0_g1_i9,AR2BP
TRINITY_DN10272_c0_g1_i2,CABL1
TRINITY_DN10272_c0_g1_i4,CABL1
TRINITY_DN10272_c1_g1_i7,SYRC
TRINITY_DN10272_c3_g1_i11,CASP3
TRINITY_DN10275_c0_g1_i17,VNX1
TRINITY_DN10275_c0_g1_i20,YI14
TRINITY_DN10275_c0_g1_i35,VNX1
TRINITY_DN10275_c0_g1_i37,VNX1
TRINITY_DN10275_c0_g1_i5,VNX1
TRINITY_DN10275_c1_g1_i1,RN215
TRINITY_DN10277_c2_g1_i1,TL5B
TRINITY_DN102782_c0_g1_i1,MRM2
TRINITY_DN102782_c0_g1_i2,MRM2
TRINITY_DN102795_c0_g1_i1,E75
TRINITY_DN102795_c0_g1_i2,E75
TRINITY_DN10280_c0_g1_i8,FZD7
TRINITY_DN10281_c0_g2_i1,NEUL4
TRINITY_DN10281_c2_g1_i1,NXF1
TRINITY_DN10281_c2_g1_i4,NXF1
TRINITY_DN10281_c2_g1_i9,NXF1
TRINITY_DN10282_c0_g1_i13,GHRA
TRINITY_DN10282_c0_g1_i17,GHRA
TRINITY_DN10282_c0_g1_i8,GHRA
TRINITY_DN102849_c0_g1_i1,PLSP
TRINITY_DN1029_c1_g1_i2,SRSF7
TRINITY_DN1029_c1_g1_i5,SRSF7
TRINITY_DN1029_c1_g1_i9,SRSF7
TRINITY_DN10291_c0_g1_i4,MOONR
TRINITY_DN102930_c0_g1_i3,DTX4
TRINITY_DN102930_c0_g2_i1,PARP9
TRINITY_DN102948_c0_g1_i3,S22A5
TRINITY_DN10295_c0_g1_i2,ZFAN3
TRINITY_DN10295_c0_g2_i4,ELOV4
TRINITY_DN10295_c1_g1_i6,SYEP
TRINITY_DN10295_c1_g2_i1,SYEP
TRINITY_DN10295_c2_g1_i8,R213A
TRINITY_DN10295_c3_g1_i1,R213A
TRINITY_DN10296_c0_g1_i19,GSTA
TRINITY_DN10299_c0_g4_i3,FSTL5
TRINITY_DN103_c0_g1_i18,PK1L2
TRINITY_DN1030_c0_g1_i11,MLC2
TRINITY_DN10301_c0_g1_i3,ANM1
TRINITY_DN10303_c0_g1_i12,GR
TRINITY_DN10303_c0_g1_i16,YTBE
TRINITY_DN10303_c0_g1_i17,Y1985
TRINITY_DN10303_c0_g1_i6,Y1985
TRINITY_DN103032_c0_g1_i1,WN10A
TRINITY_DN10305_c0_g1_i7,AR6P4
TRINITY_DN103085_c0_g1_i1,RTJK
TRINITY_DN103086_c0_g1_i1,PPE
TRINITY_DN103091_c0_g1_i5,POL2
TRINITY_DN1031_c0_g1_i6,SAP3
TRINITY_DN1031_c0_g3_i1,DD3
TRINITY_DN103118_c0_g1_i2,AGRV1
TRINITY_DN10315_c0_g1_i9,HD
TRINITY_DN10316_c0_g1_i3,EDRF1
TRINITY_DN10316_c0_g1_i31,EDRF1
TRINITY_DN10316_c0_g2_i20,EDRF1
TRINITY_DN103171_c1_g1_i2,FOXJ3
TRINITY_DN103171_c1_g1_i5,FOXJ3
TRINITY_DN103180_c0_g1_i1,SC5AA
TRINITY_DN10319_c0_g1_i2,TTC12
TRINITY_DN1032_c0_g1_i11,WFD18
TRINITY_DN1032_c2_g1_i1,DRC4
TRINITY_DN10322_c0_g1_i5,RGS3
TRINITY_DN10322_c0_g1_i6,RGS3
TRINITY_DN103221_c0_g1_i1,TLR4
TRINITY_DN10325_c0_g1_i18,WHITE
TRINITY_DN10325_c0_g1_i3,WHITE
TRINITY_DN10327_c0_g1_i37,PTN21
TRINITY_DN10327_c0_g1_i45,PTN21
TRINITY_DN103271_c0_g2_i1,POSTN
TRINITY_DN103278_c0_g1_i2,FIBA
TRINITY_DN10329_c0_g2_i3,UPP2
TRINITY_DN10329_c0_g2_i7,UPP2
TRINITY_DN10329_c1_g1_i7,FXL14
TRINITY_DN1033_c1_g1_i1,CBAR2
TRINITY_DN103317_c0_g1_i1,RN213
TRINITY_DN103319_c0_g1_i1,HMCN2
TRINITY_DN103336_c0_g1_i13,M17L2
TRINITY_DN10337_c1_g1_i1,AAK1
TRINITY_DN10337_c1_g1_i14,AAK1
TRINITY_DN10337_c1_g1_i15,AAK1
TRINITY_DN10337_c1_g1_i3,AAK1
TRINITY_DN10339_c0_g1_i6,FANCB
TRINITY_DN1034_c0_g1_i8,MIB2
TRINITY_DN10342_c0_g1_i2,ISOC2
TRINITY_DN10343_c0_g1_i3,NFYA
TRINITY_DN10348_c0_g1_i1,PPT1
TRINITY_DN10348_c0_g1_i12,PPT1
TRINITY_DN1035_c0_g1_i20,CD63
TRINITY_DN1035_c0_g1_i23,CD63
TRINITY_DN10358_c0_g1_i16,TNI3K
TRINITY_DN10358_c0_g1_i5,TNI3K
TRINITY_DN10358_c0_g1_i6,TNI3K
TRINITY_DN10359_c0_g1_i5,MASU1
TRINITY_DN10359_c0_g1_i6,MASU1
TRINITY_DN10360_c0_g1_i4,DMTF1
TRINITY_DN10360_c0_g1_i8,DMTF1
TRINITY_DN10360_c0_g1_i9,DMTF1
TRINITY_DN103624_c0_g1_i6,OX2R
TRINITY_DN103624_c0_g1_i7,OX2R
TRINITY_DN10363_c0_g1_i3,XIAP
TRINITY_DN10364_c0_g1_i8,UBP3
TRINITY_DN10367_c0_g1_i1,ACHA7
TRINITY_DN1037_c0_g1_i7,PCDG4
TRINITY_DN103732_c0_g1_i10,VF259
TRINITY_DN103732_c0_g1_i6,VF259
TRINITY_DN10374_c2_g1_i2,PPAL
TRINITY_DN10374_c2_g1_i3,PPAL
TRINITY_DN10376_c0_g1_i1,KBRS1
TRINITY_DN10376_c0_g1_i6,KBRS2
TRINITY_DN10378_c0_g1_i14,NIPA
TRINITY_DN10378_c1_g1_i8,AT1B1
TRINITY_DN1038_c0_g1_i5,MED4
TRINITY_DN10380_c0_g1_i3,ZC3HE
TRINITY_DN10387_c0_g1_i9,COQ3
TRINITY_DN10390_c0_g2_i2,LECM
TRINITY_DN103908_c0_g1_i1,DIRC2
TRINITY_DN10392_c0_g1_i4,SCLT1
TRINITY_DN10395_c0_g1_i3,PCFT
TRINITY_DN103957_c0_g1_i2,GAL2B
TRINITY_DN10399_c0_g1_i24,PYRD
TRINITY_DN10399_c0_g1_i26,PYRD
TRINITY_DN10399_c0_g1_i5,PYRD
TRINITY_DN104_c0_g1_i2,TF2B
TRINITY_DN104_c0_g1_i5,TF2B
TRINITY_DN104_c1_g1_i2,TPMT
TRINITY_DN104_c1_g1_i3,TPMT
TRINITY_DN104_c1_g1_i5,TPMT
TRINITY_DN1040_c0_g2_i1,UBP19
TRINITY_DN1040_c4_g1_i3,EXOC4
TRINITY_DN1040_c4_g1_i4,EXOC4
TRINITY_DN104016_c0_g1_i1,HECD4
TRINITY_DN104026_c0_g2_i2,INS
TRINITY_DN10404_c0_g1_i1,EMC3
TRINITY_DN10405_c1_g1_i3,FCN2
TRINITY_DN10406_c0_g1_i28,UBE2U
TRINITY_DN10409_c0_g1_i11,CCD78
TRINITY_DN10409_c0_g1_i4,CCD78
TRINITY_DN10411_c0_g1_i1,AP5S1
TRINITY_DN10413_c0_g1_i10,ACP7
TRINITY_DN10413_c0_g1_i3,ACP7
TRINITY_DN10413_c0_g1_i4,ACP7
TRINITY_DN10417_c0_g1_i3,PO2F1
TRINITY_DN1042_c0_g1_i1,HS12A
TRINITY_DN1042_c0_g1_i15,HS12A
TRINITY_DN1042_c0_g1_i17,HS12A
TRINITY_DN10420_c0_g1_i10,GLMP
TRINITY_DN10420_c0_g1_i6,GLMP
TRINITY_DN10422_c0_g1_i2,CORO7
TRINITY_DN104253_c0_g1_i2,LRWD1
TRINITY_DN10429_c0_g1_i3,RN217
TRINITY_DN1043_c0_g3_i3,RRAGC
TRINITY_DN1043_c12_g1_i1,SESN3
TRINITY_DN1043_c13_g1_i10,CCNI2
TRINITY_DN1043_c14_g2_i2,ESTD
TRINITY_DN1043_c3_g1_i10,UB2R2
TRINITY_DN1043_c3_g1_i9,UB2R2
TRINITY_DN1043_c8_g1_i4,ZAR1L
TRINITY_DN104306_c0_g1_i1,AMT3
TRINITY_DN10432_c0_g1_i2,DIRA2
TRINITY_DN10432_c0_g1_i4,DIRA2
TRINITY_DN10432_c0_g1_i5,DIRA2
TRINITY_DN10432_c0_g1_i6,DIRA2
TRINITY_DN10434_c0_g1_i2,2A5E
TRINITY_DN10434_c0_g1_i3,2A5E
TRINITY_DN10436_c0_g1_i7,RED1
TRINITY_DN10443_c0_g1_i21,R113A
TRINITY_DN10445_c0_g1_i2,SF3A2
TRINITY_DN10447_c0_g1_i17,TBCB
TRINITY_DN10447_c4_g1_i4,ELOV5
TRINITY_DN104480_c0_g1_i1,UNC7
TRINITY_DN1045_c0_g1_i6,CALM
TRINITY_DN1045_c1_g1_i17,CP4FN
TRINITY_DN1045_c1_g1_i9,CP4FN
TRINITY_DN10452_c0_g1_i4,ITFG2
TRINITY_DN10455_c0_g1_i6,CLCA
TRINITY_DN10459_c0_g1_i4,CDKAL
TRINITY_DN10459_c0_g1_i7,CDKAL
TRINITY_DN10461_c0_g1_i1,UNC7
TRINITY_DN10461_c0_g1_i6,UNC7
TRINITY_DN10462_c0_g1_i9,MORN5
TRINITY_DN10464_c0_g1_i7,DUOX2
TRINITY_DN10464_c1_g1_i3,GPSM2
TRINITY_DN10465_c0_g1_i1,CSTF2
TRINITY_DN10469_c0_g1_i6,CC177
TRINITY_DN1047_c1_g1_i14,S238A
TRINITY_DN1047_c1_g1_i5,S238A
TRINITY_DN10471_c0_g1_i1,LSM10
TRINITY_DN10472_c0_g1_i4,SCRIB
TRINITY_DN10472_c0_g1_i8,SCRIB
TRINITY_DN10473_c0_g1_i6,RING2
TRINITY_DN10474_c0_g1_i2,PAR14
TRINITY_DN10474_c0_g1_i3,PAR14
TRINITY_DN10479_c0_g1_i4,INT6
TRINITY_DN104795_c0_g1_i4,CNEP1
TRINITY_DN10484_c0_g1_i1,MCCB
TRINITY_DN10488_c0_g1_i6,DEX1
TRINITY_DN104889_c0_g1_i1,CRNA
TRINITY_DN1049_c1_g1_i4,PAR14
TRINITY_DN1049_c1_g1_i9,PAR14
TRINITY_DN1049_c12_g1_i12,GL1D1
TRINITY_DN1049_c13_g1_i8,PKS1
TRINITY_DN1049_c23_g1_i1,CERS2
TRINITY_DN1049_c3_g1_i3,A16A1
TRINITY_DN1049_c4_g1_i17,CSTN1
TRINITY_DN1049_c4_g1_i6,CSTN1
TRINITY_DN10490_c0_g1_i2,JADE3
TRINITY_DN10492_c2_g1_i1,HES4
TRINITY_DN104946_c0_g1_i1,WDR31
TRINITY_DN104946_c0_g1_i13,WDR31
TRINITY_DN104946_c0_g1_i7,WDR31
TRINITY_DN104946_c0_g1_i9,WDR31
TRINITY_DN10495_c7_g1_i11,RB18B
TRINITY_DN104968_c0_g1_i1,CP10
TRINITY_DN10497_c0_g1_i4,PCDGH
TRINITY_DN10497_c0_g2_i1,FAT4
TRINITY_DN104971_c3_g1_i1,MRC1
TRINITY_DN10498_c0_g1_i4,GID4
TRINITY_DN105_c0_g1_i10,AAAD
TRINITY_DN105_c0_g1_i4,AAAD
TRINITY_DN105_c0_g1_i8,AAAD
TRINITY_DN1050_c1_g1_i3,SR140
TRINITY_DN1050_c1_g2_i1,SR140
TRINITY_DN1050_c1_g2_i4,SR140
TRINITY_DN1050_c2_g1_i1,WHRN
TRINITY_DN1050_c2_g1_i2,WHRN
TRINITY_DN1050_c4_g1_i10,STK16
TRINITY_DN1050_c5_g2_i1,PKHF2
TRINITY_DN10501_c0_g1_i2,IDHP
TRINITY_DN10501_c0_g1_i8,IDHP
TRINITY_DN10505_c0_g1_i5,APEX1
TRINITY_DN10507_c0_g1_i11,ADAS
TRINITY_DN10507_c0_g1_i13,ADAS
TRINITY_DN1051_c0_g1_i11,RTN4
TRINITY_DN1051_c30_g1_i2,RAB3
TRINITY_DN1051_c5_g1_i14,HS12A
TRINITY_DN1051_c5_g1_i6,HS12A
TRINITY_DN1051_c7_g1_i5,MTRAA
TRINITY_DN10510_c0_g1_i115,CSPP1
TRINITY_DN10510_c0_g1_i13,CSPP1
TRINITY_DN10510_c0_g1_i202,CSPP1
